Order ID,Order Date,Product Name,Category,Region,Customer ID,Quantity,Unit Price,column K,column L,Status,Sales Representative,,,,Metric,Value,,status,count
ORD-10054-2025-AZ,2025-06-04,Laptop,Electronics,West,CUST-4937,5,"$1,249.00",6245,High Value,Shipped,Frank,,,,,,,,
ORD-10158-2025-TX,2024-08-08,Router,Electronics,West,CUST-5452,5,"$1,233.00",6165,High Value,Cancelled,Alice,,,,,,,,
ORD-10829-2025-TX,2025-04-12,Printer,Electronics,Central,CUST-7305,5,"$1,229.00",6145,High Value,Shipped,Frank,,,,,,,,
ORD-10904-2025-TX,2024-02-07,Laptop,Electronics,East,CUST-2108,5,"$1,203.00",6015,High Value,Shipped,Frank,,,,,,,cancelled,200
ORD-10136-2025-TX,2024-02-05,Monitor,Electronics,Central,CUST-8502,4,"$1,496.00",5984,High Value,Shipped,Frank,,,,,,,,
ORD-10490-2025-CA,2024-01-10,Monitor,Electronics,South,CUST-4932,5,"$1,181.00",5905,High Value,Cancelled,Eve,,,,,,,,
ORD-10340-2025-TX,2025-01-23,Printer,Electronics,South,CUST-8221,4,"$1,449.00",5796,High Value,Pending,David,,,,,,,,
ORD-10725-2025-CA,2024-10-17,Monitor,Electronics,South,CUST-8131,5,"$1,158.00",5790,High Value,Shipped,Bob,,,,,,,,
ORD-10597-2025-CA,2024-07-21,Printer,Electronics,East,CUST-9058,4,"$1,443.00",5772,High Value,Shipped,Bob,,,,,,,,
ORD-10264-2025-CA,2024-06-10,Router,Electronics,Central,CUST-2185,5,"$1,154.00",5770,High Value,Shipped,Frank,,,,,,,,
ORD-10719-2025-TX,2024-08-14,Laptop,Electronics,South,CUST-4107,5,"$1,150.00",5750,High Value,Cancelled,Alice,,,,,,,,
ORD-10294-2025-CA,2025-04-28,Monitor,Electronics,Central,CUST-8755,4,"$1,434.00",5736,High Value,Shipped,Charlie,,,,,,,,
ORD-10374-2025-AZ,2024-07-09,Monitor,Electronics,South,CUST-9627,4,"$1,399.00",5596,High Value,Pending,Bob,,,,,,,,
ORD-10295-2025-CA,2025-03-05,Printer,Electronics,South,CUST-4997,4,"$1,390.00",5560,High Value,Shipped,Frank,,,,,,,,
ORD-10873-2025-TX,2024-05-14,Router,Electronics,West,CUST-5219,4,"$1,381.00",5524,High Value,Shipped,Bob,,,,,,,,
ORD-10748-2025-TX,2024-12-19,Monitor,Electronics,Central,CUST-3376,4,"$1,365.00",5460,High Value,Shipped,Frank,,,,,,,,
ORD-10891-2025-AZ,2024-09-15,Laptop,Electronics,North,CUST-4530,4,"$1,358.00",5432,High Value,Pending,David,,,,,,,,
ORD-10278-2025-CA,2025-03-02,Monitor,Electronics,West,CUST-7205,5,"$1,080.00",5400,High Value,Pending,Charlie,,,,,,,,
ORD-10504-2025-TX,2025-05-08,Laptop,Electronics,East,CUST-4074,5,"$1,057.00",5285,High Value,Cancelled,Alice,,,,,,,,
ORD-10926-2025-TX,2024-04-04,Laptop,Electronics,Central,CUST-6151,4,"$1,317.00",5268,High Value,Pending,Frank,,,,,,,,
ORD-10920-2025-CA,2025-03-15,Printer,Electronics,Central,CUST-1811,4,"$1,313.00",5252,High Value,Shipped,Charlie,,,,,,,,
ORD-10594-2025-CA,2024-04-18,Router,Electronics,East,CUST-4099,4,"$1,310.00",5240,High Value,Shipped,Eve,,,,,,,,
ORD-10540-2025-AZ,2024-08-24,Router,Electronics,West,CUST-3008,4,"$1,309.00",5236,High Value,Shipped,Eve,,,,,,,,
ORD-10923-2025-AZ,2024-12-16,Monitor,Electronics,West,CUST-6455,4,"$1,306.00",5224,High Value,Cancelled,David,,,,,,,,
ORD-10288-2025-AZ,2024-03-01,Router,Electronics,West,CUST-1665,4,"$1,299.00",5196,High Value,Pending,Bob,,,,,,,,
ORD-10665-2025-AZ,2024-11-23,Laptop,Electronics,Central,CUST-3353,4,"$1,297.00",5188,High Value,Shipped,Frank,,,,,,,,
ORD-10936-2025-CA,2025-06-18,Router,Electronics,North,CUST-2843,5,"$1,037.00",5185,High Value,Cancelled,Alice,,,,,,,,
ORD-10745-2025-CA,2024-03-27,Laptop,Electronics,North,CUST-6407,5,"$1,035.00",5175,High Value,Shipped,Charlie,,,,,,,,
ORD-10881-2025-TX,2024-07-07,Printer,Electronics,West,CUST-5123,5,"$1,031.00",5155,High Value,Shipped,David,,,,,,,,
ORD-10525-2025-CA,2025-05-08,Monitor,Electronics,West,CUST-8224,4,"$1,287.00",5148,High Value,Shipped,Bob,,,,,,,,
ORD-10655-2025-TX,2024-03-16,Laptop,Electronics,North,CUST-9445,4,"$1,275.00",5100,High Value,Shipped,Charlie,,,,,,,,
ORD-10531-2025-AZ,2025-03-13,Router,Electronics,Central,CUST-6505,4,"$1,274.00",5096,High Value,Shipped,David,,,,,,,,
ORD-10073-2025-AZ,2025-01-04,Monitor,Electronics,East,CUST-4137,5,"$1,014.00",5070,High Value,Pending,Charlie,,,,,,,,
ORD-10845-2025-AZ,2024-10-14,Laptop,Electronics,East,CUST-4614,4,"$1,265.00",5060,High Value,Cancelled,Frank,,,,,,,,
ORD-10836-2025-TX,2024-05-01,Monitor,Electronics,East,CUST-3627,4,"$1,263.00",5052,High Value,Pending,Charlie,,,,,,,,
ORD-10145-2025-CA,2024-07-13,Printer,Electronics,North,CUST-8197,5,"$1,010.00",5050,High Value,Shipped,Frank,,,,,,,,
ORD-10488-2025-CA,2024-02-08,Monitor,Electronics,East,CUST-9375,5,"$1,009.00",5045,High Value,Shipped,Bob,,,,,,,,
ORD-10501-2025-AZ,2025-03-26,Laptop,Electronics,North,CUST-6340,5,"$1,009.00",5045,High Value,Shipped,Alice,,,,,,,,
ORD-10779-2025-CA,2025-01-12,Printer,Electronics,West,CUST-2789,5,"$1,007.00",5035,High Value,Shipped,Alice,,,,,,,,
ORD-10618-2025-AZ,2024-08-07,Router,Electronics,North,CUST-9147,5,"$1,005.00",5025,High Value,Cancelled,Charlie,,,,,,,,
ORD-10612-2025-CA,2024-04-07,Printer,Electronics,East,CUST-6596,5,"$1,004.00",5020,High Value,Cancelled,Eve,,,,,,,,
ORD-10858-2025-AZ,2025-01-03,Printer,Electronics,Central,CUST-6485,4,"$1,251.00",5004,High Value,Pending,Charlie,,,,,,,,
ORD-10038-2025-AZ,2025-03-12,Router,Electronics,Central,CUST-9598,4,"$1,245.00",4980,High Value,Shipped,David,,,,,,,,
ORD-10120-2025-TX,2025-05-03,Router,Electronics,West,CUST-9861,4,"$1,231.00",4924,High Value,Pending,Eve,,,,,,,,
ORD-10324-2025-AZ,2024-12-04,Router,Electronics,Central,CUST-5709,5,$981.00,4905,High Value,Shipped,David,,,,,,,,
ORD-10828-2025-CA,2024-11-28,Monitor,Electronics,East,CUST-2864,4,"$1,207.00",4828,High Value,Shipped,David,,,,,,,,
ORD-10807-2025-TX,2024-01-23,Router,Electronics,North,CUST-9344,5,$960.00,4800,High Value,Shipped,Alice,,,,,,,,
ORD-10554-2025-AZ,2024-07-25,Laptop,Electronics,North,CUST-2009,4,"$1,199.00",4796,High Value,Shipped,David,,,,,,,,
ORD-10431-2025-CA,2024-09-06,Printer,Electronics,East,CUST-5878,5,$959.00,4795,High Value,Shipped,Alice,,,,,,,,
ORD-10978-2025-CA,2025-02-08,Printer,Electronics,East,CUST-5846,5,$953.00,4765,High Value,Cancelled,Charlie,,,,,,,,
ORD-10183-2025-TX,2024-03-13,Monitor,Electronics,South,CUST-5101,5,$945.00,4725,High Value,Shipped,Eve,,,,,,,,
ORD-10383-2025-AZ,2025-05-25,Router,Electronics,South,CUST-5226,5,$945.00,4725,High Value,Cancelled,Eve,,,,,,,,
ORD-10398-2025-AZ,2025-02-21,Laptop,Electronics,South,CUST-6353,5,$941.00,4705,High Value,Shipped,David,,,,,,,,
ORD-10962-2025-TX,2024-12-07,Laptop,Electronics,North,CUST-3717,5,$939.00,4695,High Value,Shipped,David,,,,,,,,
ORD-10634-2025-CA,2024-09-27,Printer,Electronics,East,CUST-9119,4,"$1,173.00",4692,High Value,Shipped,Alice,,,,,,,,
ORD-10892-2025-AZ,2025-01-20,Laptop,Electronics,West,CUST-6812,4,"$1,172.00",4688,High Value,Shipped,Charlie,,,,,,,,
ORD-10632-2025-AZ,2025-01-16,Printer,Electronics,South,CUST-2945,5,$937.00,4685,High Value,Shipped,Bob,,,,,,,,
ORD-10595-2025-AZ,2025-05-07,Monitor,Electronics,South,CUST-4786,4,"$1,162.00",4648,High Value,Shipped,Bob,,,,,,,,
ORD-10938-2025-AZ,2024-07-22,Monitor,Electronics,West,CUST-9104,4,"$1,144.00",4576,High Value,Cancelled,Eve,,,,,,,,
ORD-10450-2025-CA,2025-02-28,Router,Electronics,North,CUST-9265,5,$901.00,4505,High Value,Shipped,Eve,,,,,,,,
ORD-10031-2025-CA,2024-04-30,Monitor,Electronics,North,CUST-9594,5,$900.00,4500,High Value,Shipped,Charlie,,,,,,,,
ORD-10912-2025-TX,2024-05-06,Router,Electronics,North,CUST-4185,4,"$1,121.00",4484,High Value,Cancelled,Charlie,,,,,,,,
ORD-10986-2025-AZ,2024-06-20,Router,Electronics,Central,CUST-3923,3,"$1,494.00",4482,High Value,Pending,David,,,,,,,,
ORD-10560-2025-TX,2024-09-30,Monitor,Electronics,East,CUST-5784,3,"$1,486.00",4458,High Value,Pending,Frank,,,,,,,,
ORD-10012-2025-AZ,2024-10-02,Printer,Electronics,West,CUST-2049,3,"$1,481.00",4443,High Value,Shipped,Alice,,,,,,,,
ORD-10773-2025-TX,2025-05-06,Printer,Electronics,East,CUST-8009,3,"$1,480.00",4440,High Value,Pending,Frank,,,,,,,,
ORD-10537-2025-AZ,2025-04-15,Printer,Electronics,North,CUST-5156,3,"$1,469.00",4407,High Value,Shipped,Alice,,,,,,,,
ORD-10144-2025-AZ,2024-04-18,Laptop,Electronics,North,CUST-5547,3,"$1,462.00",4386,High Value,Shipped,Charlie,,,,,,,,
ORD-10683-2025-TX,2024-02-19,Monitor,Electronics,South,CUST-3823,4,"$1,091.00",4364,High Value,Shipped,Eve,,,,,,,,
ORD-10310-2025-CA,2025-06-27,Monitor,Electronics,East,CUST-9287,3,"$1,449.00",4347,High Value,Shipped,Alice,,,,,,,,
ORD-10269-2025-AZ,2024-11-18,Router,Electronics,Central,CUST-6375,3,"$1,443.00",4329,High Value,Shipped,Charlie,,,,,,,,
ORD-10215-2025-CA,2025-01-09,Router,Electronics,Central,CUST-7632,3,"$1,441.00",4323,High Value,Shipped,Bob,,,,,,,,
ORD-10180-2025-AZ,2025-05-09,Printer,Electronics,East,CUST-1635,5,$860.00,4300,High Value,Shipped,Bob,,,,,,,,
ORD-10644-2025-TX,2025-03-17,Laptop,Electronics,South,CUST-9921,5,$858.00,4290,High Value,Shipped,Charlie,,,,,,,,
ORD-10161-2025-CA,2025-03-21,Laptop,Electronics,West,CUST-4027,3,"$1,427.00",4281,High Value,Pending,Charlie,,,,,,,,
ORD-10854-2025-TX,2025-03-18,Printer,Electronics,East,CUST-8360,3,"$1,427.00",4281,High Value,Shipped,Charlie,,,,,,,,
ORD-10102-2025-CA,2024-09-29,Laptop,Electronics,South,CUST-3846,5,$856.00,4280,High Value,Shipped,Charlie,,,,,,,,
ORD-10782-2025-CA,2025-02-08,Router,Electronics,North,CUST-3239,5,$855.00,4275,High Value,Shipped,Bob,,,,,,,,
ORD-10788-2025-CA,2024-05-23,Router,Electronics,South,CUST-7315,4,"$1,059.00",4236,High Value,Cancelled,Alice,,,,,,,,
ORD-10701-2025-TX,2025-04-06,Printer,Electronics,North,CUST-2792,3,"$1,408.00",4224,High Value,Shipped,David,,,,,,,,
ORD-10186-2025-AZ,2025-03-27,Printer,Electronics,West,CUST-9681,4,"$1,054.00",4216,High Value,Pending,Frank,,,,,,,,
ORD-10601-2025-TX,2024-06-22,Monitor,Electronics,East,CUST-9389,4,"$1,052.00",4208,High Value,Cancelled,David,,,,,,,,
ORD-10723-2025-AZ,2025-03-13,Laptop,Electronics,Central,CUST-1524,4,"$1,048.00",4192,High Value,Pending,Charlie,,,,,,,,
ORD-10473-2025-AZ,2024-06-22,Monitor,Electronics,South,CUST-1070,4,"$1,045.00",4180,High Value,Shipped,Frank,,,,,,,,
ORD-10886-2025-AZ,2024-11-30,Laptop,Electronics,East,CUST-9016,4,"$1,044.00",4176,High Value,Shipped,Frank,,,,,,,,
ORD-10297-2025-CA,2024-12-30,Printer,Electronics,North,CUST-9669,3,"$1,383.00",4149,High Value,Shipped,David,,,,,,,,
ORD-10331-2025-TX,2025-02-15,Printer,Electronics,Central,CUST-7143,3,"$1,380.00",4140,High Value,Cancelled,Alice,,,,,,,,
ORD-10953-2025-TX,2025-05-25,Monitor,Electronics,North,CUST-3902,4,"$1,034.00",4136,High Value,Shipped,Charlie,,,,,,,,
ORD-10678-2025-CA,2025-01-20,Monitor,Electronics,North,CUST-5845,4,"$1,032.00",4128,High Value,Pending,Alice,,,,,,,,
ORD-10863-2025-TX,2025-05-11,Laptop,Electronics,Central,CUST-3217,5,$825.00,4125,High Value,Shipped,David,,,,,,,,
ORD-10814-2025-AZ,2025-01-03,Laptop,Electronics,East,CUST-9579,3,"$1,355.00",4065,High Value,Shipped,Charlie,,,,,,,,
ORD-10202-2025-AZ,2025-01-28,Router,Electronics,West,CUST-8606,4,"$1,013.00",4052,High Value,Shipped,Charlie,,,,,,,,
ORD-10721-2025-TX,2025-04-28,Laptop,Electronics,North,CUST-5435,3,"$1,349.00",4047,High Value,Shipped,Alice,,,,,,,,
ORD-10133-2025-AZ,2025-05-25,Laptop,Electronics,Central,CUST-7055,5,$805.00,4025,High Value,Cancelled,Alice,,,,,,,,
ORD-10326-2025-AZ,2025-06-24,Monitor,Electronics,South,CUST-2450,3,"$1,340.00",4020,High Value,Shipped,Bob,,,,,,,,
ORD-10107-2025-TX,2024-05-29,Monitor,Electronics,Central,CUST-2372,3,"$1,329.00",3987,High Value,Pending,Alice,,,,,,,,
ORD-10917-2025-AZ,2024-07-21,Router,Electronics,Central,CUST-1122,4,$994.00,3976,High Value,Shipped,Eve,,,,,,,,
ORD-10607-2025-CA,2025-04-05,Monitor,Electronics,West,CUST-4220,3,"$1,322.00",3966,High Value,Shipped,Frank,,,,,,,,
ORD-10171-2025-AZ,2024-09-02,Router,Electronics,South,CUST-5745,3,"$1,320.00",3960,High Value,Cancelled,Eve,,,,,,,,
ORD-10232-2025-TX,2024-10-24,Laptop,Electronics,West,CUST-1234,4,$988.00,3952,High Value,Cancelled,Frank,,,,,,,,
ORD-10110-2025-CA,2024-05-29,Monitor,Electronics,East,CUST-8011,3,"$1,312.00",3936,High Value,Shipped,Charlie,,,,,,,,
ORD-10409-2025-TX,2024-02-24,Laptop,Electronics,North,CUST-2692,5,$784.00,3920,High Value,Cancelled,Frank,,,,,,,,
ORD-10408-2025-TX,2024-01-07,Laptop,Electronics,East,CUST-5425,4,$962.00,3848,High Value,Shipped,David,,,,,,,,
ORD-10070-2025-CA,2024-06-23,Printer,Electronics,North,CUST-5827,5,$767.00,3835,High Value,Shipped,Frank,,,,,,,,
ORD-10492-2025-CA,2025-06-26,Printer,Electronics,South,CUST-8363,3,"$1,270.00",3810,High Value,Shipped,Charlie,,,,,,,,
ORD-10885-2025-AZ,2024-05-26,Monitor,Electronics,North,CUST-7958,5,$762.00,3810,High Value,Shipped,Eve,,,,,,,,
ORD-10526-2025-AZ,2025-04-08,Monitor,Electronics,East,CUST-6828,3,"$1,267.00",3801,High Value,Shipped,Bob,,,,,,,,
ORD-10889-2025-AZ,2024-05-11,Monitor,Electronics,East,CUST-2185,5,$760.00,3800,High Value,Pending,David,,,,,,,,
ORD-10018-2025-TX,2024-09-12,Laptop,Electronics,North,CUST-3267,3,"$1,256.00",3768,High Value,Cancelled,Frank,,,,,,,,
ORD-10077-2025-CA,2025-03-08,Router,Electronics,East,CUST-5498,3,"$1,252.00",3756,High Value,Shipped,Charlie,,,,,,,,
ORD-10356-2025-CA,2024-11-15,Router,Electronics,East,CUST-6292,3,"$1,251.00",3753,High Value,Shipped,Alice,,,,,,,,
ORD-10448-2025-CA,2025-05-08,Monitor,Electronics,East,CUST-2205,4,$934.00,3736,High Value,Shipped,Bob,,,,,,,,
ORD-10347-2025-CA,2025-05-22,Monitor,Electronics,Central,CUST-9792,5,$743.00,3715,High Value,Shipped,Eve,,,,,,,,
ORD-10044-2025-AZ,2024-01-11,Printer,Electronics,North,CUST-2833,5,$742.00,3710,High Value,Cancelled,Bob,,,,,,,,
ORD-10300-2025-AZ,2024-08-07,Printer,Electronics,West,CUST-1560,4,$923.00,3692,High Value,Shipped,David,,,,,,,,
ORD-10784-2025-AZ,2024-01-06,Router,Electronics,West,CUST-4131,3,"$1,228.00",3684,High Value,Shipped,Bob,,,,,,,,
ORD-10451-2025-AZ,2024-10-16,Laptop,Electronics,West,CUST-7294,3,"$1,216.00",3648,High Value,Cancelled,Alice,,,,,,,,
ORD-10271-2025-CA,2024-07-08,Printer,Electronics,South,CUST-6506,5,$727.00,3635,High Value,Shipped,David,,,,,,,,
ORD-10658-2025-CA,2024-09-19,Laptop,Electronics,West,CUST-6075,3,"$1,188.00",3564,High Value,Pending,David,,,,,,,,
ORD-10097-2025-TX,2024-06-29,Monitor,Electronics,Central,CUST-2159,5,$712.00,3560,High Value,Pending,Eve,,,,,,,,
ORD-10118-2025-CA,2025-02-27,Printer,Electronics,South,CUST-7888,4,$887.00,3548,High Value,Shipped,Charlie,,,,,,,,
ORD-10168-2025-CA,2024-04-02,Printer,Electronics,East,CUST-7481,3,"$1,165.00",3495,High Value,Cancelled,Eve,,,,,,,,
ORD-10675-2025-CA,2024-08-13,Laptop,Electronics,Central,CUST-8584,3,"$1,163.00",3489,High Value,Shipped,Eve,,,,,,,,
ORD-10998-2025-TX,2024-09-24,Laptop,Electronics,East,CUST-7423,4,$870.00,3480,High Value,Pending,David,,,,,,,,
ORD-10336-2025-CA,2024-08-24,Laptop,Electronics,East,CUST-8066,3,"$1,151.00",3453,High Value,Shipped,Bob,,,,,,,,
ORD-10713-2025-TX,2024-07-07,Router,Electronics,Central,CUST-9484,4,$856.00,3424,High Value,Shipped,Alice,,,,,,,,
ORD-10999-2025-CA,2024-05-02,Monitor,Electronics,East,CUST-6333,4,$854.00,3416,High Value,Cancelled,Alice,,,,,,,,
ORD-10017-2025-TX,2024-05-16,Router,Electronics,East,CUST-6035,3,"$1,137.00",3411,High Value,Pending,Alice,,,,,,,,
ORD-10651-2025-CA,2025-03-15,Monitor,Electronics,East,CUST-7402,4,$848.00,3392,High Value,Pending,Eve,,,,,,,,
ORD-10627-2025-AZ,2024-11-04,Monitor,Electronics,West,CUST-5126,3,"$1,130.00",3390,High Value,Shipped,David,,,,,,,,
ORD-10750-2025-AZ,2024-01-01,Router,Electronics,North,CUST-6829,4,$842.00,3368,High Value,Pending,David,,,,,,,,
ORD-10368-2025-CA,2025-05-16,Printer,Electronics,West,CUST-5273,3,"$1,122.00",3366,High Value,Cancelled,David,,,,,,,,
ORD-10023-2025-TX,2024-06-09,Monitor,Electronics,South,CUST-9218,5,$668.00,3340,High Value,Shipped,Charlie,,,,,,,,
ORD-10767-2025-CA,2024-05-17,Printer,Electronics,Central,CUST-1558,5,$667.00,3335,High Value,Pending,David,,,,,,,,
ORD-10705-2025-TX,2024-03-13,Printer,Electronics,North,CUST-4228,4,$830.00,3320,High Value,Shipped,Charlie,,,,,,,,
ORD-10909-2025-CA,2024-11-07,Router,Electronics,East,CUST-7717,3,"$1,100.00",3300,High Value,Cancelled,Charlie,,,,,,,,
ORD-10664-2025-TX,2025-06-06,Router,Electronics,West,CUST-8307,3,"$1,098.00",3294,High Value,Shipped,Charlie,,,,,,,,
ORD-10108-2025-TX,2024-10-12,Monitor,Electronics,North,CUST-9625,3,"$1,083.00",3249,High Value,Shipped,Eve,,,,,,,,
ORD-10042-2025-AZ,2024-07-26,Router,Electronics,South,CUST-6479,5,$647.00,3235,High Value,Shipped,Bob,,,,,,,,
ORD-10101-2025-CA,2024-10-01,Laptop,Electronics,Central,CUST-2583,5,$646.00,3230,High Value,Shipped,Alice,,,,,,,,
ORD-10498-2025-TX,2025-03-17,Router,Electronics,North,CUST-9714,4,$804.00,3216,High Value,Shipped,Frank,,,,,,,,
ORD-10283-2025-TX,2025-06-15,Monitor,Electronics,East,CUST-9349,5,$642.00,3210,High Value,Shipped,David,,,,,,,,
ORD-10249-2025-CA,2025-06-16,Laptop,Electronics,South,CUST-6064,4,$801.00,3204,High Value,Shipped,Eve,,,,,,,,
ORD-10319-2025-AZ,2024-12-13,Monitor,Electronics,Central,CUST-5661,3,"$1,066.00",3198,High Value,Shipped,David,,,,,,,,
ORD-10487-2025-TX,2024-02-02,Printer,Electronics,Central,CUST-9436,5,$636.00,3180,High Value,Pending,Eve,,,,,,,,
ORD-10134-2025-TX,2024-09-13,Router,Electronics,West,CUST-5830,4,$792.00,3168,High Value,Shipped,Alice,,,,,,,,
ORD-10001-2025-CA,2024-07-06,Router,Electronics,East,CUST-5792,3,"$1,055.00",3165,High Value,Shipped,Bob,,,,,,,,
ORD-10769-2025-AZ,2024-10-12,Router,Electronics,West,CUST-2918,5,$621.00,3105,High Value,Shipped,Alice,,,,,,,,
ORD-10993-2025-CA,2025-06-28,Printer,Electronics,South,CUST-4010,5,$608.00,3040,High Value,Pending,Alice,,,,,,,,
ORD-10803-2025-CA,2024-02-13,Router,Electronics,West,CUST-9189,4,$759.00,3036,High Value,Shipped,Alice,,,,,,,,
ORD-10428-2025-TX,2025-06-12,Router,Electronics,West,CUST-1226,5,$606.00,3030,High Value,Cancelled,Eve,,,,,,,,
ORD-10667-2025-CA,2024-03-08,Router,Electronics,West,CUST-3740,3,"$1,005.00",3015,High Value,Shipped,Bob,,,,,,,,
ORD-10452-2025-CA,2024-01-15,Monitor,Electronics,Central,CUST-5170,3,"$1,004.00",3012,High Value,Cancelled,Eve,,,,,,,,
ORD-10688-2025-TX,2024-08-13,Printer,Electronics,West,CUST-9328,4,$748.00,2992,High Value,Shipped,David,,,,,,,,
ORD-10242-2025-AZ,2024-06-26,Monitor,Electronics,North,CUST-8982,2,"$1,483.00",2966,High Value,Shipped,Alice,,,,,,,,
ORD-10346-2025-CA,2024-06-16,Monitor,Electronics,Central,CUST-3645,3,$987.00,2961,High Value,Cancelled,Charlie,,,,,,,,
ORD-10894-2025-TX,2024-07-31,Laptop,Electronics,South,CUST-4899,5,$592.00,2960,High Value,Cancelled,Charlie,,,,,,,,
ORD-10437-2025-AZ,2025-04-04,Laptop,Electronics,East,CUST-6111,2,"$1,477.00",2954,High Value,Pending,Alice,,,,,,,,
ORD-10260-2025-TX,2024-05-04,Printer,Electronics,North,CUST-9745,4,$731.00,2924,High Value,Pending,Bob,,,,,,,,
ORD-10959-2025-AZ,2024-12-12,Router,Electronics,North,CUST-5277,3,$974.00,2922,High Value,Cancelled,David,,,,,,,,
ORD-10211-2025-TX,2024-06-27,Monitor,Electronics,Central,CUST-1858,5,$581.00,2905,High Value,Cancelled,Eve,,,,,,,,
ORD-10148-2025-AZ,2024-04-11,Router,Electronics,South,CUST-3156,2,"$1,447.00",2894,High Value,Shipped,Eve,,,,,,,,
ORD-10093-2025-CA,2025-02-13,Printer,Electronics,West,CUST-6037,2,"$1,438.00",2876,High Value,Pending,Charlie,,,,,,,,
ORD-10961-2025-AZ,2024-09-02,Printer,Electronics,Central,CUST-5693,2,"$1,435.00",2870,High Value,Shipped,Eve,,,,,,,,
ORD-10918-2025-CA,2024-04-23,Printer,Electronics,North,CUST-7678,2,"$1,434.00",2868,High Value,Shipped,David,,,,,,,,
ORD-10121-2025-TX,2024-03-21,Router,Electronics,South,CUST-2843,2,"$1,433.00",2866,High Value,Shipped,Charlie,,,,,,,,
ORD-10543-2025-TX,2024-05-02,Printer,Electronics,South,CUST-6359,2,"$1,427.00",2854,High Value,Pending,Charlie,,,,,,,,
ORD-10512-2025-AZ,2024-04-15,Router,Electronics,West,CUST-1653,4,$711.00,2844,High Value,Pending,Eve,,,,,,,,
ORD-10673-2025-AZ,2024-09-02,Laptop,Electronics,West,CUST-6070,2,"$1,422.00",2844,High Value,Shipped,Eve,,,,,,,,
ORD-10785-2025-AZ,2024-12-02,Monitor,Electronics,East,CUST-9074,2,"$1,422.00",2844,High Value,Pending,Bob,,,,,,,,
ORD-10241-2025-CA,2024-08-26,Printer,Electronics,East,CUST-2720,2,"$1,412.00",2824,High Value,Shipped,David,,,,,,,,
ORD-10196-2025-AZ,2024-10-07,Monitor,Electronics,South,CUST-3943,5,$561.00,2805,High Value,Cancelled,Charlie,,,,,,,,
ORD-10564-2025-AZ,2024-03-23,Laptop,Electronics,East,CUST-5025,4,$698.00,2792,High Value,Pending,Bob,,,,,,,,
ORD-10724-2025-CA,2024-08-09,Printer,Electronics,West,CUST-9090,5,$556.00,2780,High Value,Pending,Bob,,,,,,,,
ORD-10375-2025-CA,2025-03-31,Router,Electronics,South,CUST-5940,3,$925.00,2775,High Value,Shipped,David,,,,,,,,
ORD-10715-2025-AZ,2024-11-02,Printer,Electronics,South,CUST-7925,2,"$1,384.00",2768,High Value,Shipped,Frank,,,,,,,,
ORD-10927-2025-CA,2024-11-14,Monitor,Electronics,Central,CUST-8044,4,$692.00,2768,High Value,Shipped,Eve,,,,,,,,
ORD-10111-2025-CA,2024-02-21,Printer,Electronics,South,CUST-9167,5,$553.00,2765,High Value,Shipped,Frank,,,,,,,,
ORD-10592-2025-TX,2024-12-14,Printer,Electronics,West,CUST-6947,4,$687.00,2748,High Value,Shipped,Frank,,,,,,,,
